編號,股票代碼,股票名稱,現股價值,,,,,,,,,
1,2327,國巨*,518,,,,,,,,,
2,2330,台積電,2190,,,,,,,,,
3,2408,南亞科,271.5,,,,,,,,,
4,4958,臻鼎-KY,436,,,,,,,,,
5,8299,群聯,2255,,,,,,,,,
6,2303,聯電,107.5,,,,,,,,,
7,2313,華通,254,,,,,,,,,
8,2454,聯發科,3155,,,,,,,,,
9,3481,群創,36.35,,,,,,,,,
10,3189,景碩,501,,,,,,,,,
11,2308,台達電,1905,,,,,,,,,
12,2344,華邦電,114,,,,,,,,,
13,3037,欣興,819,,,,,,,,,
14,2337,旺宏,140,,,,,,,,,
15,6147,頎邦,215,,,,,,,,,
16,3443,創意,4555,,,,,,,,,
17,2317,鴻海,239.5,,,,,,,,,
18,3105,穩懋,444.5,,,,,,,,,
19,6285,啟碁,279,,,,,,,,,
20,2455,全新,402,,,,,,,,,
21,3711,日月光投控,473.5,,,,,,,,,
22,2603,長榮,213.5,,,,,,,,,
23,8046,南電,827,,,,,,,,,
24,50,元大台灣50,92.5,,,,,,,,,
25,3661,世芯-KY,4580,,,,,,,,,
26,2345,智邦,2330,,,,,,,,,
27,2449,京元電子,278.5,,,,,,,,,
28,2382,廣達,290.5,,,,,,,,,
29,2481,強茂,133.5,,,,,,,,,
30,3006,晶豪科,223.5,,,,,,,,,
31,6669,緯穎,4870,,,,,,,,,
32,00403A,主動統一升級50,9.65,,,,,,,,,
33,6531,愛普*,973,,,,,,,,,
34,00981A,主動統一台股增長,27.13,,,,,,,,,
35,3036,文曄,281,,,,,,,,,
36,2368,金像電,1245,,,,,,,,,
37,3017,奇鋐,2325,,,,,,,,,
38,2383,台光電,4360,,,,,,,,,
39,3167,大量,786,,,,,,,,,
40,5289,宜鼎,1655,,,,,,,,,
41,5347,世界,160,,,,,,,,,
42,6415,矽力*-KY,502,,,,,,,,,
43,2891,中信金,57.9,,,,,,,,,
44,3624,光頡,91.7,,,,,,,,,
45,8021,尖點,357.5,,,,,,,,,
46,7750,新代,2450,,,,,,,,,
47,5425,台半,87.8,,,,,,,,,
48,2355,敬鵬,59.4,,,,,,,,,
49,3260,威剛,403,,,,,,,,,
50,6223,旺矽,5745,,,,,,,,,
51,3090,日電貿,178.5,,,,,,,,,
52,2404,漢唐,1025,,,,,,,,,
